Expression: painstaking work; travail de fourmi
Her dream was to become a doctor and she succeeded in achieving it; Son rêve était de devenir médecin et elle a réussi à le réaliser.
After numerous attempts, she finally succeeded in fixing the leaky faucet; Après de nombreuses tentatives, elle a enfin réussi à réparer le robinet qui fuyait.
With determination and hard work, he succeeded in learning a new language fluently; Avec détermination et beaucoup de travail, il a réussi à apprendre une nouvelle langue couramment.
She knew it would be challenging, but she succeeded in running her first marathon; Elle savait que ce serait difficile, mais elle a réussi à terminer son premier marathon.
Despite initial doubts, they succeeded in convincing the investors to fund their project; Malgré les doutes initiaux, ils ont réussi à convaincre les investisseurs de financer leur projet.
They faced many setbacks, but in the end, they succeeded in launching their startup; Ils ont rencontré de nombreux revers, mais au final, ils ont réussi à lancer leur start-up.

Expression: be successful; avoir gain de cause
Being successful takes hard work and dedication; Réussir demande du travail et de la détermination
Her debut novel was a bestseller, she finally feels successful; Son premier roman a été un best-seller, elle se sent enfin réussie
He believes that being successful is not just about money but also about happiness; Il croit que réussir ne se limite pas à l'argent mais concerne aussi le bonheur
After years of effort, she finally achieved her dream of starting her own business; Après des années d'efforts, elle a finalement réalisé son rêve de créer sa propre entreprise
His perseverance and determination are the keys to his success; Sa persévérance et sa détermination sont les clés de son succès
The young entrepreneur's innovative idea led to a successful business venture; L'idée innovante du jeune entrepreneur a conduit à une entreprise prospère
Success is not always measured by wealth, but also by personal growth; Le succès n'est pas toujours mesuré par la richesse, mais aussi par la croissance personnelle
Learning from failure is crucial for achieving success in the long run; Apprendre de l'échec est crucial pour atteindre le succès à long terme
Despite facing many challenges, she managed to be successful in her career; Malgré les nombreux défis, elle a réussi dans sa carrière
Success is the result of perseverance, hard work, and a positive mindset; Le succès est le résultat de la persévérance, du travail acharné et d'un état d'esprit positif

Expression: have the means; avoir les moyens
She has the means to start her own business; Elle a les moyens de démarrer sa propre entreprise
Buying a new car is not within his means at the moment; Acheter une nouvelle voiture n'est pas à sa portée pour le moment
I have the means to travel to Europe next summer; J'ai les moyens de voyager en Europe l'été prochain
It's important to have the means to support yourself financially; Il est important d'avoir les moyens de subvenir à vos besoins financièrement
He doesn't have the means to buy a house right now; Il n'a pas les moyens d'acheter une maison en ce moment
Having a job is a means to achieve financial stability; Avoir un emploi est un moyen d'atteindre la stabilité financière
She has the means to pursue her passion for painting; Elle a les moyens de poursuivre sa passion pour la peinture
Investing in education is a means to secure a better future; Investir dans l'éducation est un moyen de garantir un avenir meilleur
He has the means to make a difference in the world; Il a les moyens de faire une différence dans le monde
Not having the means to afford healthcare is a major concern; Ne pas avoir les moyens de se permettre des soins de santé est une préoccupation majeure

Expression: afford; avoir les moyens
I can help with that! Just to confirm, you would like 10 pairs of contextual sentences for the English-French expression "afford", correct?

Expression: have the capacity; avoir les moyens
have the capacity; avoir la capacité
The new machine has the capacity to produce double the amount of merchandise.; La nouvelle machine a la capacité de produire le double de marchandises.

make a difference; faire une différence
Volunteering at the shelter makes a real difference in the community.; Faire du bénévolat au refuge fait une réelle différence dans la communauté.

take a shower; prendre une douche
After a long day at work, I like to take a relaxing shower.; Après une longue journée de travail, j'aime prendre une douche relaxante.

break the news; annoncer la nouvelle
She had to break the news to her parents that she was moving out.; Elle devait annoncer la nouvelle à ses parents qu'elle déménageait.

hit the road; prendre la route
We need to hit the road early tomorrow to get to the conference on time.; Nous devons prendre la route tôt demain pour arriver à la conférence à temps.

catch some Z's; faire un somme
I'm going to catch some Z's before the big event tonight.; Je vais faire un somme avant le grand événement ce soir.

make a decision; prendre une décision
It's time to make a decision about which university to attend.; Il est temps de prendre une décision sur quelle université fréquenter.

give it a shot; tenter sa chance
I'm not sure if I can do it, but I'll give it a shot anyway.; Je ne suis pas sûr de pouvoir le faire, mais je vais tenter ma chance quand même.

save the day; sauver la mise
The firefighters worked together to save the day and rescue the family from the burning building.; Les pompiers ont travaillé ensemble pour sauver la mise et secourir la famille de l'immeuble en feu.

call it a day; appeler ça une journée
After completing all the tasks on the to-do list, it's time to call it a day.; Après avoir accompli toutes les tâches de la liste de choses à faire, il est temps d'appeler ça une journée.

Expression: have the resources; avoir les moyens
The company has the resources to launch a new product line next year; L'entreprise a les ressources nécessaires pour lancer une nouvelle gamme de produits l'année prochaine.
She has the resources to renovate her house without any financial constraints; Elle a les ressources pour rénover sa maison sans contraintes financières.
The library has the resources to satisfy all the research needs of the students; La bibliothèque a les ressources pour répondre à tous les besoins de recherche des étudiants.
The team has the resources to successfully complete the project ahead of schedule; L'équipe a les ressources pour mener à bien le projet avant l'échéance prévue.
They have the resources to organize a charity event for the local community; Ils ont les ressources pour organiser un événement caritatif pour la communauté locale.
The department has the resources to implement new technology for improved efficiency; Le département a les ressources pour mettre en place une nouvelle technologie en vue d'améliorer l'efficacité.
The organization has the resources to expand its services to reach more people in need; L'organisation a les ressources pour étendre ses services afin de toucher un plus grand nombre de personnes dans le besoin.
He has the resources to start his own business venture with confidence; Il a les ressources pour démarrer sa propre entreprise en toute confiance.
The hospital has the resources to provide top-notch medical care to its patients; L'hôpital a les ressources pour offrir des soins médicaux de premier ordre à ses patients.
The school has the resources to offer a diverse range of extracurricular activities for students; L'école a les ressources pour proposer une gamme variée d'activités parascolaires aux élèves.

Expression: gape; bouche bée
The movie was boring and made him gape in disbelief; Le film était ennuyeux et l'a fait bâiller d'incrédulité.
She couldn't help but gape at the stunning sunset; Elle ne put s'empêcher de rester bouche bée devant le coucher de soleil magnifique.
The magician's tricks were so amazing that the audience gaped in amazement; Les tours de magie du magicien étaient si incroyables que le public resta bouche bée d'émerveillement.
The unexpected news left everyone in the room gaping in shock; La nouvelle inattendue laissa tout le monde dans la pièce bouche bée de stupéfaction.
The grandeur of the palace made visitors gape in awe; La grandeur du palais fit bâiller les visiteurs d'admiration.
The intricate artwork on the ceiling made him gape in admiration; La complexité de l'œuvre d'art au plafond l'a fait bâiller d'admiration.
His outrageous behavior caused people to gape in disbelief; Son comportement scandaleux a provoqué l'étonnement de chacun.
The sudden burst of confetti made the crowd gape in surprise; L'explosion soudaine de confettis fit bâiller la foule de surprise.
The breathtaking view from the mountaintop made them gape in wonder; La vue époustouflante depuis le sommet de la montagne les a fait bâiller d'émerveillement.
The astounding feats of the acrobats left the audience gaping in awe; Les prouesses étonnantes des acrobates ont laissé le public bouche bée d'admiration.

Expression: baptism of fire; baptême du feu
1. The new job was a real baptism of fire, but I learned a lot in the process.; Le nouveau travail a été un vrai baptême du feu, mais j'ai beaucoup appris dans le processus.
2. Starting a business can feel like a baptism of fire for many entrepreneurs.; Démarrer une entreprise peut sembler être un baptême du feu pour de nombreux entrepreneurs.
3. Joining a sports team was a baptism of fire for the rookie player, but they quickly adapted.; Rejoindre une équipe sportive a été un baptême du feu pour le joueur débutant, mais il s'est rapidement adapté.
4. The first year of college can be a baptism of fire for students adjusting to a new lifestyle.; La première année de collège peut être un baptême du feu pour les étudiants s'adaptant à un nouveau mode de vie.
5. Serving in the military is a baptism of fire that tests one's physical and mental strength.; Servir dans l'armée est un baptême du feu qui met à l'épreuve la force physique et mentale.
6. Facing a tough challenge can sometimes feel like a baptism of fire, but it builds resilience.; Affronter un défi difficile peut parfois ressembler à un baptême du feu, mais cela renforce la résilience.
7. Learning a new language can be a baptism of fire, but the rewards are worth it in the end.; Apprendre une nouvelle langue peut être un baptême du feu, mais les récompenses en valent la peine à la fin.
8. Starting a family is often a baptism of fire for new parents, filled with challenges and surprises.; Fonder une famille est souvent un baptême du feu pour les nouveaux parents, rempli de défis et de surprises.
9. Transitioning to a new cultural environment can be a baptism of fire for expatriates, but it leads to personal growth.; La transition vers un nouvel environnement culturel peut être un baptême du feu pour les expatriés, mais cela conduit à une croissance personnelle.
10. Overcoming a major setback can be a baptism of fire, but it can also be a turning point for success.; Surmonter un revers majeur peut être un baptême du feu, mais cela peut aussi être un tournant vers le succès.

Expression: baptism by fire; baptême du feu
baptism by fire; The new employee faced a baptism by fire during his first week on the job.; Le nouvel employé a vécu un baptême du feu lors de sa première semaine de travail.
hit the nail on the head; Sarah's guess was spot on, she really hit the nail on the head with that answer.; La conjecture de Sarah était juste, elle a vraiment touché dans le mille avec cette réponse.
butter someone up; Mark tried to butter up his boss with compliments in hopes of getting a promotion.; Mark a essayé d'amadouer son patron avec des compliments dans l'espoir d'obtenir une promotion.
pass the buck; Instead of taking responsibility, he tried to pass the buck onto his colleague.; Au lieu de prendre ses responsabilités, il a essayé de se défausser sur son collègue.
cost an arm and a leg; The designer handbag cost an arm and a leg, but she just had to have it.; Le sac à main de designer coûtait une fortune, mais elle devait absolument l'avoir.
once in a blue moon; I only see my old friend once in a blue moon since she moved to a different country.; Je ne vois mon ancienne amie qu'une fois tous les trente-six du mois depuis qu'elle a déménagé dans un autre pays.
burn the midnight oil; To meet the deadline, they had to burn the midnight oil and work late into the night.; Pour respecter le délai, ils ont dû veiller tard et travailler jusqu'au milieu de la nuit.
spill the beans; Sarah accidentally spilled the beans about the surprise party to her sister.; Sarah a involontairement vendu la mèche sur la fête surprise à sa sœur.
break the ice; Playing a fun game helped break the ice and make everyone feel more comfortable at the party.; Jouer à un jeu amusant a permis de briser la glace et de mettre tout le monde plus à l'aise à la fête.
jump on the bandwagon; All her friends were into the latest trend, so Jane decided to jump on the bandwagon and try it too.; Tous ses amis étaient attirés par la dernière tendance, ainsi Jane a décidé de suivre le mouvement et d'essayer aussi.

Expression: trial by fire; baptême du feu
The new job was a trial by fire, but I learned a lot from the experience.; Le nouveau travail fut une épreuve initiatique, mais j'ai beaucoup appris de cette expérience.
Dealing with a difficult client can be a trial by fire for a customer service representative.; Traiter avec un client difficile peut être une épreuve initiatique pour un représentant du service clientèle.
Graduating from medical school was a trial by fire, but now I feel prepared for anything.; Obtenir mon diplôme de médecine fut une épreuve initiatique, mais maintenant je me sens prêt à tout.
Her first marathon was a trial by fire, but she pushed through and finished strong.; Son premier marathon fut une épreuve initiatique, mais elle a persévéré et a fini en force.
Starting a business from scratch is a trial by fire, but it can be incredibly rewarding in the long run.; Lancer une entreprise à partir de zéro est une épreuve initiatique, mais cela peut être incroyablement gratifiant à long terme.
Recovering from a serious illness can feel like a trial by fire, but it can also be a transformative experience.; Guérir d'une maladie grave peut sembler être une épreuve initiatique, mais cela peut aussi être une expérience transformatrice.
Going through a challenging breakup can be a trial by fire emotionally, but it can lead to personal growth.; Vivre une rupture difficile peut être une épreuve initiatique émotionnelle, mais cela peut conduire à une croissance personnelle.
Enduring a difficult training program is a trial by fire for athletes, but it prepares them for competition.; Supporter un programme d'entraînement difficile est une épreuve initiatique pour les athlètes, mais cela les prépare à la compétition.
Traveling alone in a foreign country can be a trial by fire, but it offers valuable lessons and experiences.; Voyager seul dans un pays étranger peut être une épreuve initiatique, mais cela offre des leçons et des expériences précieuses.

Expression: nest egg; bas de laine
I have been carefully saving money in my nest egg for years; J'ai soigneusement épargné de l'argent dans mon "nid d'œuf" pendant des années.
Starting a retirement fund is a great way to build a nest egg for the future; Commencer un fonds de retraite est un excellent moyen de constituer un "nid d'œuf" pour l'avenir.
My parents gave me a small nest egg to help with my first apartment; Mes parents m'ont donné un petit pécule pour m'aider avec mon premier appartement.
She wisely invested her nest egg in a diverse portfolio; Elle a investi judicieusement son "nid d'œuf" dans un portefeuille diversifié.
It's important to have a nest egg for unexpected expenses; Il est important d'avoir un "nid d'œuf" pour les dépenses imprévues.
He used his entire nest egg to start his own business; Il a utilisé tout son "nid d'œuf" pour démarrer sa propre entreprise.
Squirrels are known for saving nuts as their nest egg for winter; Les écureuils sont connus pour stocker des noix en tant que "nid d'œuf" pour l'hiver.
They were able to buy their dream home thanks to their nest egg; Ils ont pu acheter leur maison de rêve grâce à leur "nid d'œuf".
She saved a portion of her salary each month to grow her nest egg; Elle mettait de côté une partie de son salaire chaque mois pour faire croître son "nid d'œuf".
Having a nest egg can provide financial security during tough times; Avoir un "nid d'œuf" peut offrir une sécurité financière en période difficile.

Expression: wool socks; bas de laine
wool socks; These wool socks kept my feet warm during the winter hike.; Ces chaussettes en laine ont gardé mes pieds au chaud lors de la randonnée hivernale.
garlic bread; The aroma of garlic bread filled the kitchen as it baked in the oven.; L'arôme du pain à l'ail remplissait la cuisine alors qu'il cuisait dans le four.
leather jacket; She looked stylish in her new leather jacket.; Elle avait l'air élégante dans sa nouvelle veste en cuir.
cherry pie; Grandma's cherry pie was a family favorite at Thanksgiving.; La tarte aux cerises de grand-mère était un incontournable de la famille pour Thanksgiving.
silk scarf; I received a beautiful silk scarf as a gift from my friend.; J'ai reçu une très belle écharpe en soie en cadeau de mon amie.
mint tea; Enjoying a cup of mint tea is so refreshing on a hot summer day.; Savourer une tasse de thé à la menthe est tellement rafraîchissant par une chaude journée d'été.
cashmere sweater; The softness of the cashmere sweater made it a luxurious treat to wear.; La douceur du pull en cachemire en faisait un vêtement luxueux à porter.
strawberry jam; The homemade strawberry jam was spread generously on freshly baked scones.; La confiture de fraises maison était généreusement étalée sur des scones fraîchement cuits.
cotton dress; She chose a light cotton dress to wear to the beach party.; Elle a choisi une robe en coton légère à porter pour la fête sur la plage.
olive oil; Drizzling olive oil over the salad enhanced its flavors.; En arrosant la salade d'huile d'olive, ses saveurs ont été rehaussées.

Expression: much ado about nothing; beaucoup de bruit pour rien
much ado about nothing; beaucoup de bruit pour rien
The argument turned out to be much ado about nothing, as they both realized they had misunderstood each other.; L'argument s'est révélé être beaucoup de bruit pour rien, car ils ont réalisé qu'ils s'étaient mal compris tous les deux.
The media frenzy surrounding the celebrity's new haircut seemed like much ado about nothing.; L'effervescence médiatique entourant la nouvelle coupe de cheveux de la célébrité semblait être beaucoup de bruit pour rien.
She always makes much ado about nothing, always creating drama out of minor issues.; Elle fait toujours beaucoup de bruit pour rien, créant toujours du drame à partir de problèmes mineurs.
For once, let's try not to make much ado about nothing and just enjoy the moment.; Pour une fois, essayons de ne pas faire beaucoup de bruit pour rien et savourons simplement le moment.
They spent hours arguing about the color of the logo, much ado about nothing in the grand scheme of things.; Ils ont passé des heures à se disputer sur la couleur du logo, beaucoup de bruit pour rien dans l'ensemble des choses.
The heated discussion during the meeting was just much ado about nothing, leading to no concrete decisions.; La discussion animée pendant la réunion n'était que beaucoup de bruit pour rien, ne menant à aucune décision concrète.
Despite all the speculation, it was revealed that the company's rumored acquisition was much ado about nothing.; Malgré toutes les spéculations, il s'est révélé que l'acquisition supposée de l'entreprise était beaucoup de bruit pour rien.
Let's not waste time on much ado about nothing; let's focus on what truly matters.; Ne perdons pas de temps sur beaucoup de bruit pour rien ; concentrons-nous sur ce qui compte vraiment.
The team spent days preparing for the presentation, only to realize it was much ado about nothing as the client canceled last minute.; L'équipe a passé des jours à préparer la présentation, pour réaliser que c'était beaucoup de bruit pour rien car le client a annulé au dernier moment.

Expression: speechless; bouche bée
I was speechless when I heard the surprising news.; J'étais sans voix quand j'ai entendu la nouvelle surprenante.
After watching the breathtaking sunrise, they were speechless.; Après avoir vu le lever du soleil à couper le souffle, ils étaient sans voix.
He was speechless after receiving such a thoughtful gift.; Il était sans voix après avoir reçu un cadeau si attentionné.
The majestic beauty of the mountains left her speechless.; La beauté majestueuse des montagnes l'a laissée sans voix.
When she saw the stunning view from the terrace, Anna was speechless.; Lorsqu'elle a vu la vue à couper le souffle de la terrasse, Anna était sans voix.
I am speechless by the generosity of your donation.; Je suis sans voix devant la générosité de votre don.
The unexpected revelation at the meeting left everyone speechless.; La révélation inattendue lors de la réunion a laissé tout le monde sans voix.
He was speechless when he saw the ticket to his dream concert.; Il était sans voix en voyant le billet pour son concert de rêve.
They were left speechless by the skillful performance of the magician.; Ils étaient sans voix face à la performance habile du magicien.
The poignant film left the audience speechless with emotion.; Le film émouvant a laissé le public sans voix d'émotion.

Expression: open-mouthed; bouche bée
He stared open-mouthed at the magnificent sunset; Il resta bouche bée devant le magnifique coucher de soleil.
The children watched the magician open-mouthed as he performed his tricks; Les enfants regardaient le magicien bouche bée alors qu'il effectuait ses tours.
She listened to the shocking news with an open-mouthed expression; Elle écouta les nouvelles choquantes avec une expression bouche bée.
The audience was left open-mouthed by the singer's powerful performance; Le public est resté bouche bée devant la performance puissante du chanteur.
He approached the elaborate sandcastle on the beach open-mouthed; Il s'approcha du château de sable élaboré sur la plage bouche bée.
The unexpected plot twist left viewers open-mouthed in surprise; Le retournement de situation inattendu laissa les spectateurs bouche bée de surprise.
She gasped open-mouthed at the breathtaking view from the mountaintop; Elle poussa un soupir d'admiration bouche bée devant la vue époustouflante depuis le sommet de la montagne.
The little girl stared open-mouthed at the colorful fireworks in the night sky; La petite fille fixa les feux d'artifice colorés dans le ciel nocturne bouche bée.
The unbelievable magic trick left the whole room open-mouthed; Le tour de magie incroyable laissa toute la salle bouche bée.
He feigned shock, pretending to be open-mouthed at the outrageous joke; Il feignit l'étonnement, prétendant être bouche bée devant la plaisanterie scandaleuse.

Expression: awe; bouche bée
The spectacular fireworks display left the audience in awe; Le spectacle de feux d'artifice spectaculaire a laissé le public impressionné.
She looked at the breathtaking view from the mountaintop in awe; Elle regardait la vue à couper le souffle du sommet de la montagne avec admiration.
The talented artist's painting was so beautiful that it inspired awe in everyone who saw it; La peinture de l'artiste talentueux était si belle qu'elle suscitait l'admiration de tous ceux qui la voyaient.
Standing in the magnificent cathedral, she felt a sense of awe wash over her; Debout dans la magnifique cathédrale, elle ressentait un sentiment d'admiration l'envahir.
Watching the acrobats perform their stunts left the children in awe; Regarder les acrobates effectuer leurs cascades a impressionné les enfants.
The ancient ruins of the temple evoked a feeling of awe in the visitors; Les ruines anciennes du temple ont suscité un sentiment d'admiration chez les visiteurs.
The majestic waterfall cascading down the mountainside filled them with awe; La majestueuse cascade dévalant le flanc de la montagne les remplissait d'admiration.
As he watched the opera singer hit the high notes flawlessly, he was filled with awe; En regardant la chanteuse d'opéra atteindre les notes aiguës de façon impeccable, il était rempli d'admiration.
The astronaut's recounting of his experiences in space left the students in awe; Le récit de l'astronaute sur ses expériences dans l'espace a impressionné les étudiants.
The powerful storm raging outside struck fear and awe in the hearts of the villagers; La puissante tempête qui faisait rage dehors a semé la peur et l'admiration dans le cœur des villageois.

Expression: gaping; bouche bée
The wound on his arm was gaping and required immediate medical attention.; La plaie sur son bras était béante et nécessitait des soins médicaux immédiats.
The canyon offered a breathtaking view with its gaping depths and towering cliffs.; Le canyon offrait une vue à couper le souffle avec ses profondeurs béantes et ses falaises vertigineuses.
The old mansion had a gaping hole in the roof, letting in rain and sunlight alike.; La vieille demeure avait un trou béant dans le toit, laissant entrer la pluie et la lumière du soleil.
The child listened in awe as the magician performed his gaping trick with the disappearing coin.; L'enfant écoutait avec émerveillement tandis que le magicien effectuait son tour béant avec la pièce qui disparaissait.
The abandoned factory had a gaping entrance where once bustling workers had filled the space.; L'usine abandonnée avait une entrée béante où autrefois des ouvriers affairés occupaient l'espace.
The hiker marveled at the gaping valley below, its vastness taking his breath away.; L'accro du plein air s'émerveilla devant la vallée béante en dessous, sa vaste étendue lui coupant le souffle.
The criminal left a gaping hole in the bank vault after he blew it open with explosives.; Le criminel a laissé un trou béant dans le coffre de la banque après l'avoir fait sauter avec des explosifs.
The singer's performance left the audience gaping in astonishment at her vocal range and control.; La prestation de la chanteuse a laissé l'audience béate d'étonnement devant son étendue vocale et son contrôle.
The explorer stumbled upon a gaping cave entrance leading into the depths of the mountain.; L'explorateur est tombé sur une entrée de caverne béante menant dans les profondeurs de la montagne.
The gaping wound on the animal's leg needed immediate treatment to prevent infection.; La plaie béante sur la patte de l'animal nécessitait un traitement immédiat pour éviter l'infection.

Expression: emergency; cas de force majeure
an emergency; une urgence
The firefighters responded quickly to the emergency call.; Les pompiers ont réagi rapidement à l'appel d'urgence.

emergency room; salle d'urgence
She was rushed to the emergency room after the accident.; Elle a été conduite en urgence à la salle d'urgence après l'accident.

emergency landing; atterrissage d'urgence
The pilot had to make an emergency landing due to engine failure.; Le pilote a dû effectuer un atterrissage d'urgence en raison d'une panne de moteur.

emergency exit; sortie de secours
In case of fire, please use the emergency exit closest to you.; En cas d'incendie, veuillez utiliser la sortie de secours la plus proche de vous.

emergency kit; trousse de premiers secours 
Every household should have an emergency kit for unexpected situations.; Chaque foyer devrait avoir une trousse de premiers secours pour les situations imprévues.

emergency contact; contact d'urgence
Make sure to update your emergency contact information regularly.; Assurez-vous de mettre à jour régulièrement vos coordonnées de contact d'urgence.

emergency response; intervention d'urgence
The emergency response team arrived within minutes of the distress call.; L'équipe d'intervention d'urgence est arrivée quelques minutes après l'appel de détresse.

state of emergency; état d'urgence
The government declared a state of emergency in response to the natural disaster.; Le gouvernement a déclaré l'état d'urgence en réponse à la catastrophe naturelle.

emergency broadcast; émission d'urgence
An emergency broadcast was issued to warn residents of the approaching hurricane.; Une émission d'urgence a été diffusée pour avertir les résidents de l'ouragan qui approchait.

emergency protocol; protocole d'urgence
It is important for all employees to be familiar with the emergency protocol of the workplace.; Il est important que tous les employés soient familiers avec le protocole d'urgence du lieu de travail.

Expression: bring the house down; casser la baraque
bring the house down; mettre le feu
The band's energetic performance brought the house down last night; La performance énergique du groupe a mis le feu hier soir
The comedian's jokes never fail to bring the house down; Les blagues du comédien réussissent toujours à mettre le feu

hit the nail on the head; toucher dans le mille
I think John hit the nail on the head with his analysis; Je pense que John a touché dans le mille avec son analyse
Mary's comments during the meeting really hit the nail on the head; Les commentaires de Mary lors de la réunion ont vraiment touché dans le mille

catch someone's eye; attirer l'attention de quelqu'un
The unique design of the building caught my eye as I walked down the street; Le design unique du bâtiment a attiré mon attention alors que je marchais dans la rue
The colorful display in the shop window caught the couple's eye; L'étalage coloré dans la vitrine a attiré l'attention du couple

cost an arm and a leg; coûter les yeux de la tête
Buying a new designer handbag can cost an arm and a leg; Acheter un nouveau sac à main de designer peut coûter les yeux de la tête
The repair work on the car ended up costing an arm and a leg; Les réparations sur la voiture ont fini par coûter les yeux de la tête

jump on the bandwagon; sauter dans le train en marche
Many companies are jumping on the bandwagon and incorporating sustainability practices; De nombreuses entreprises sautent dans le train en marche et intègrent des pratiques de durabilité
After the success of the new technology, more competitors started jumping on the bandwagon; Après le succès de la nouvelle technologie, plus de concurrents ont commencé à sauter dans le train en marche

cry over spilled milk; pleurer sur du lait renversé
There's no use crying over spilled milk, we need to find a solution to the problem; Ça ne sert à rien de pleurer sur du lait renversé, il faut trouver une solution au problème
Instead of crying over spilled milk, let's focus on preventing the situation from happening again; Au lieu de pleurer sur du lait renversé, concentrons-nous sur la prévention de cette situation

burn the midnight oil; veiller tard dans la nuit
The students had to burn the midnight oil to finish their project on time; Les étudiants ont dû veiller tard dans la nuit pour terminer leur projet à temps
During the busy season, the accountant often burns the midnight oil to meet deadlines; Pendant la saison chargée, le comptable veille souvent tard dans la nuit pour respecter les délais

be on cloud nine; être aux anges
Winning the competition made me feel like I was on cloud nine; Gagner la compétition m'a fait me sentir aux anges
When she received the promotion, she was on cloud nine for days; Quand elle a reçu la promotion, elle était aux anges pendant des jours

back to the drawing board; retour à la case départ
The initial plan didn't work out, so it's back to the drawing board; Le plan initial n'a pas fonctionné, donc retour à la case départ
After the prototype failed the test, the engineers had to go back to the drawing board; Après l'échec du prototype au test, les ingénieurs ont dû retourner à la case départ

spill the beans; vendre la mèche
We promised not to tell anyone, but Sarah went ahead and spilled the beans; Nous avions promis de ne rien dire, mais Sarah a quand même vendu la mèche
I can't believe you spilled the beans about the surprise party; Je n'arrive pas à croire que tu aies vendu la mèche sur la fête surprise

Expression: coup de grace; coup de grâce
coup de grace; The soldier delivered the coup de grace to end the suffering of the wounded enemy; Le soldat a donné le coup de grâce pour mettre fin à la souffrance de l'ennemi blessé.
coup de grace; The final goal in the match was a real coup de grace for the losing team; Le but final dans le match a été un véritable coup de grâce pour l'équipe perdante.
coup de grace; The pivotal speech delivered by the CEO was the coup de grace that sealed the deal; Le discours décisif prononcé par le PDG a été le coup de grâce qui a scellé l'affaire.
coup de grace; His resignation letter felt like the coup de grace to the struggling company; Sa lettre de démission a eu l'effet d'un coup de grâce pour l'entreprise en difficulté.
coup de grace; The unexpected plot twist at the end of the movie was the coup de grace that left the audience stunned; Le retournement de situation inattendu à la fin du film a été le coup de grâce qui a laissé le public abasourdi.

Expression: against all expectations; contre toute attente
against all expectations; contre toute attente
The underdog team won the championship against all expectations.; L'équipe outsider a remporté le championnat contre toute attente.

all of a sudden; tout à coup
All of a sudden, the lights went out during the storm.; Tout à coup, les lumières se sont éteintes pendant l'orage.

out of the blue; du jour au lendemain
He received a job offer out of the blue that changed his life.; Il a reçu une offre d'emploi du jour au lendemain qui a changé sa vie.

once in a blue moon; une fois tous les trente-six du mois
They only see each other once in a blue moon, but still remain close friends.; Ils ne se voient qu'une fois tous les trente-six du mois, mais restent tout de même de bons amis.

come rain or shine; qu'il pleuve ou qu'il fasse beau
He promised to be there for the event, come rain or shine.; Il a promis d'être présent pour l'événement, qu'il pleuve ou qu'il fasse beau.

beyond a shadow of a doubt; sans l'ombre d'un doute
The evidence presented was beyond a shadow of a doubt.; Les preuves présentées étaient sans l'ombre d'un doute.

make a mountain out of a molehill; en faire tout un fromage
She always makes a mountain out of a molehill, overreacting to minor issues.; Elle en fait toujours tout un fromage, réagissant de manière excessive à des problèmes mineurs.

hit the nail on the head; taper dans le mille
He hit the nail on the head with his analysis of the situation.; Il a tapé dans le mille avec son analyse de la situation.

burn the midnight oil; veiller tard
She had to burn the midnight oil to finish her project on time.; Elle a dû veiller tard pour terminer son projet à temps.

get your act together; se ressaisir
He needs to get his act together if he wants to succeed.; Il doit se ressaisir s'il veut réussir.

Expression: surprisingly; contre toute attente
Surprisingly;
She surprisingly appeared at the party after saying she couldn't make it.; Elle est apparue à la fête de manière surprenante après avoir dit qu'elle ne pourrait pas venir.
He surprisingly won the lottery, changing his life overnight.; Il a remporté la loterie de façon surprenante, changeant ainsi sa vie du jour au lendemain.
The experiment surprisingly yielded unexpected results, puzzling the researchers.; L'expérience a donné des résultats surprenants, déroutant les chercheurs.
Her performance at the competition was surprisingly flawless, earning her the first prize.; Sa performance lors de la compétition était étonnamment impeccable, lui valant ainsi le premier prix.
Surprisingly, the old house was still standing after the hurricane passed through.; De manière surprenante, la vieille maison était toujours debout après le passage de l'ouragan.
The book surprisingly turned out to be a bestseller, exceeding all expectations.; Le livre s'est révélé être un best-seller de manière surprenante, dépassant toutes les attentes.
The cat surprisingly befriended the new puppy, much to everyone's surprise.; Le chat s'est étonnamment lié d'amitié avec le nouveau chiot, surprenant tout le monde.
Surprisingly, he excelled in the art class despite having no previous experience.; De manière surprenante, il excellait dans le cours d'art malgré son manque d'expérience préalable.
She surprisingly chose to resign from her high-paying job to pursue her passion for painting.; Elle a surpris tout le monde en choisissant de démissionner de son emploi bien rémunéré pour se consacrer à sa passion pour la peinture.
The team surprisingly came from behind to win the championship, stunning their opponents.; L'équipe est parvenue de manière surprenante à remonter pour remporter le championnat, laissant ses adversaires sans voix.

Expression: against the odds; contre toute attente
Against the odds, she managed to graduate with honors; Contre toute attente, elle a réussi à obtenir son diplôme avec mention.
Winning against the odds felt incredibly rewarding; Gagner contre toute attente était incroyablement gratifiant.
They fought against the odds and came out victorious; Ils ont lutté contre vents et marées et ont triomphé.
Despite the odds being stacked against her, she persevered; Malgré les probabilités défavorables, elle a persévéré.
The team was up against the odds but never gave up; L'équipe était confrontée à des circonstances difficiles mais n'a jamais abandonné.
The underdog won the match against all odds; L'outsider a remporté le match contre toute attente.
They overcame obstacles and succeeded against the odds; Ils ont surmonté les obstacles et ont réussi malgré les probabilités.
She faced the challenge head-on, against all odds; Elle a affronté le défi en face, contre vents et marées.
The journey was tough, but they made it against the odds; Le voyage a été difficile, mais ils y sont arrivés malgré les probabilités.
